"Date, time",Pris,Omrade
05/09/2023 08:00,2.32,NO5
05/09/2023 09:00,2.343,NO1
05/09/2023 09:00,104.007,NO2
05/09/2023 09:00,19.993,NO3
05/09/2023 09:00,19.993,NO4
05/09/2023 09:00,2.343,NO5
05/09/2023 10:00,2.32,NO1
05/09/2023 10:00,98.431,NO2
05/09/2023 10:00,18.978,NO3
05/09/2023 10:00,18.978,NO4
05/09/2023 10:00,2.32,NO5
05/09/2023 11:00,2.182,NO1
05/09/2023 11:00,90.974,NO2
05/09/2023 11:00,17.154,NO3
05/09/2023 11:00,17.154,NO4
05/09/2023 11:00,2.182,NO5
05/09/2023 12:00,1.893,NO1
05/09/2023 12:00,81.924,NO2
05/09/2023 12:00,16.161,NO3
05/09/2023 12:00,16.161,NO4
05/09/2023 12:00,1.893,NO5
05/09/2023 13:00,1.766,NO1
05/09/2023 13:00,83.956,NO2
05/09/2023 13:00,10.528,NO3
05/09/2023 13:00,10.528,NO4
05/09/2023 13:00,1.766,NO5
05/09/2023 14:00,1.789,NO1
05/09/2023 14:00,83.275,NO2
05/09/2023 14:00,14.002,NO3
05/09/2023 14:00,14.002,NO4
05/09/2023 14:00,1.789,NO5
05/09/2023 15:00,1.962,NO1
05/09/2023 15:00,92.844,NO2
05/09/2023 15:00,14.81,NO3
05/09/2023 15:00,14.81,NO4
05/09/2023 15:00,1.962,NO5
05/09/2023 16:00,2.378,NO1
05/09/2023 16:00,99.009,NO2
05/09/2023 16:00,15.018,NO3
05/09/2023 16:00,15.018,NO4
05/09/2023 16:00,2.378,NO5
05/09/2023 17:00,2.355,NO1
05/09/2023 17:00,103.614,NO2
05/09/2023 17:00,15.226,NO3
05/09/2023 17:00,15.226,NO4
05/09/2023 17:00,2.355,NO5
05/09/2023 18:00,2.355,NO1
05/09/2023 18:00,103.568,NO2
05/09/2023 18:00,12.028,NO3
05/09/2023 18:00,12.028,NO4
05/09/2023 18:00,2.355,NO5
05/09/2023 19:00,2.343,NO1
05/09/2023 19:00,94.276,NO2
05/09/2023 19:00,7.307,NO3
05/09/2023 19:00,7.307,NO4
05/09/2023 19:00,2.343,NO5
05/09/2023 20:00,2.366,NO1
05/09/2023 20:00,94.276,NO2
05/09/2023 20:00,4.133,NO3
05/09/2023 20:00,4.133,NO4
05/09/2023 20:00,2.366,NO5
05/09/2023 21:00,2.02,NO1
05/09/2023 21:00,94.276,NO2
05/09/2023 21:00,2.02,NO3
05/09/2023 21:00,2.02,NO4
05/09/2023 21:00,2.02,NO5
05/09/2023 22:00,0.266,NO1
05/09/2023 22:00,93.676,NO2
05/09/2023 22:00,0.266,NO3
05/09/2023 22:00,0.266,NO4
05/09/2023 22:00,0.266,NO5
05/09/2023 23:00,-0.185,NO1
05/09/2023 23:00,91.413,NO2
05/09/2023 23:00,-0.185,NO3
05/09/2023 23:00,-0.185,NO4
05/09/2023 23:00,-0.185,NO5
06/09/2023 00:00,0.678,NO1
06/09/2023 00:00,88.052,NO2
06/09/2023 00:00,-1.287,NO3
06/09/2023 00:00,-1.287,NO4
06/09/2023 00:00,0.678,NO5
06/09/2023 01:00,0.253,NO1
06/09/2023 01:00,82.708,NO2
06/09/2023 01:00,-1.195,NO3
06/09/2023 01:00,-1.195,NO4
06/09/2023 01:00,0.253,NO5
06/09/2023 02:00,0,NO1
06/09/2023 02:00,80.823,NO2
06/09/2023 02:00,-1.161,NO3
06/09/2023 02:00,-1.161,NO4
06/09/2023 02:00,0,NO5
06/09/2023 03:00,0,NO1
06/09/2023 03:00,81.065,NO2
06/09/2023 03:00,0,NO3
06/09/2023 03:00,0,NO4
06/09/2023 03:00,0,NO5
06/09/2023 04:00,0.85,NO1
06/09/2023 04:00,80.789,NO2
06/09/2023 04:00,0.85,NO3
06/09/2023 04:00,0.85,NO4
06/09/2023 04:00,0.85,NO5
06/09/2023 05:00,2.298,NO1
06/09/2023 05:00,81.639,NO2
06/09/2023 05:00,2.298,NO3
06/09/2023 05:00,2.298,NO4
06/09/2023 05:00,2.298,NO5
06/09/2023 06:00,3.183,NO1
06/09/2023 06:00,83.742,NO2
06/09/2023 06:00,11.435,NO3
06/09/2023 06:00,11.435,NO4
06/09/2023 06:00,3.183,NO5
06/09/2023 07:00,4.218,NO1
06/09/2023 07:00,100.222,NO2
06/09/2023 07:00,17.169,NO3
06/09/2023 07:00,17.169,NO4
06/09/2023 07:00,4.218,NO5
06/09/2023 08:00,4.62,NO1
06/09/2023 08:00,100.601,NO2
06/09/2023 08:00,22.203,NO3
06/09/2023 08:00,20.444,NO4
06/09/2023 08:00,4.62,NO5
06/09/2023 09:00,4.62,NO1
06/09/2023 09:00,108.829,NO2
06/09/2023 09:00,22.823,NO3
06/09/2023 09:00,20.525,NO4
06/09/2023 09:00,4.62,NO5
06/09/2023 10:00,5.62,NO1
06/09/2023 10:00,98.716,NO2
06/09/2023 10:00,22.065,NO3
06/09/2023 10:00,20.605,NO4
06/09/2023 10:00,5.62,NO5
06/09/2023 11:00,5.344,NO1
06/09/2023 11:00,91.419,NO2
06/09/2023 11:00,21.743,NO3
06/09/2023 11:00,20.743,NO4
06/09/2023 11:00,5.344,NO5
06/09/2023 12:00,4.884,NO1
06/09/2023 12:00,83.708,NO2
06/09/2023 12:00,20.915,NO3
06/09/2023 12:00,20.881,NO4
06/09/2023 12:00,4.884,NO5
06/09/2023 13:00,4.988,NO1
06/09/2023 13:00,81.777,NO2
06/09/2023 13:00,21.065,NO3
06/09/2023 13:00,20.938,NO4
06/09/2023 13:00,4.988,NO5
06/09/2023 14:00,4.999,NO1
06/09/2023 14:00,84.052,NO2
06/09/2023 14:00,23.444,NO3
06/09/2023 14:00,20.697,NO4
06/09/2023 14:00,4.999,NO5
06/09/2023 15:00,5.102,NO1
06/09/2023 15:00,91.867,NO2
06/09/2023 15:00,27.719,NO3
06/09/2023 15:00,20.812,NO4
06/09/2023 15:00,5.102,NO5
06/09/2023 16:00,5.217,NO1
06/09/2023 16:00,101.831,NO2
06/09/2023 16:00,22.076,NO3
06/09/2023 16:00,21.513,NO4
06/09/2023 16:00,5.217,NO5
06/09/2023 17:00,4.896,NO1
06/09/2023 17:00,117.896,NO2
06/09/2023 17:00,21.938,NO3
06/09/2023 17:00,21.938,NO4
06/09/2023 17:00,4.896,NO5
06/09/2023 18:00,4.769,NO1
06/09/2023 18:00,101.566,NO2
06/09/2023 18:00,21.777,NO3
06/09/2023 18:00,21.777,NO4
06/09/2023 18:00,4.769,NO5
06/09/2023 19:00,4.735,NO1
06/09/2023 19:00,91.821,NO2
06/09/2023 19:00,21.674,NO3
06/09/2023 19:00,21.674,NO4
06/09/2023 19:00,4.735,NO5
06/09/2023 20:00,4.677,NO1
06/09/2023 20:00,91.465,NO2
06/09/2023 20:00,21.927,NO3
06/09/2023 20:00,21.927,NO4
06/09/2023 20:00,4.677,NO5
06/09/2023 21:00,4.654,NO1
06/09/2023 21:00,88.04,NO2
06/09/2023 21:00,21.754,NO3
06/09/2023 21:00,21.754,NO4
06/09/2023 21:00,4.654,NO5
06/09/2023 22:00,4.62,NO1
06/09/2023 22:00,82.938,NO2
06/09/2023 22:00,21.674,NO3
06/09/2023 22:00,21.674,NO4
06/09/2023 22:00,4.62,NO5
06/09/2023 23:00,3.448,NO1
06/09/2023 23:00,82.168,NO2
06/09/2023 23:00,19.766,NO3
06/09/2023 23:00,19.766,NO4
06/09/2023 23:00,3.448,NO5
07/09/2023 00:00,4.156,NO1
07/09/2023 00:00,80.765,NO2
07/09/2023 00:00,16.291,NO3
07/09/2023 00:00,16.291,NO4
07/09/2023 00:00,4.156,NO5
07/09/2023 01:00,3.938,NO1
07/09/2023 01:00,80.318,NO2
07/09/2023 01:00,14.752,NO3
07/09/2023 01:00,14.752,NO4
07/09/2023 01:00,3.938,NO5
